B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDVI,CDOM Proxy (B3/B4),NDCI,NSMI,B4/B3,B4/B2,B4/B1,GCE_Salinity,GCE_Temperature(C)
371,460,574,412,346,129,119,108,74,,12,13,-0.584615385,1.393203883,-0.08707124,0.363762102,0.717770035,0.895652174,1.110512129,30.75,14.22
440,531,680,538,502,194,188,167,101,7,8,4,-0.526241135,1.26394052,-0.034615385,0.392795883,0.791176471,1.013182674,1.222727273,31.35,15.2
309,446,551,289,213,56,56,44,37,1,8,3,-0.735735736,1.906574394,-0.151394422,0.306376361,0.524500907,0.647982063,0.935275081,32.2,16.17
266,311,448,244,180,49,51,53,28,1,3,9,-0.643097643,1.836065574,-0.150943396,0.379860419,0.544642857,0.784565916,0.917293233,30.79,13.81
268,279,423,231,169,43,46,48,24,1,2,8,-0.655913978,1.831168831,-0.155,0.40192926,0.546099291,0.827956989,0.861940299,30.79,13.81
322,450,569,338,274,96,91,72,61,1,19,16,-0.648780488,1.683431953,-0.104575163,0.336772292,0.594024605,0.751111111,1.049689441,31.17,14.64
291,396,529,311,260,84,81,56,47,,17,15,-0.694822888,1.70096463,-0.089316988,0.359223301,0.587901701,0.785353535,1.068728522,31.17,14.64
440,517,680,430,355,113,120,86,70,1,10,10,-0.666666667,1.581395349,-0.095541401,0.364474493,0.632352941,0.83172147,0.977272727,31.88,13.97
436,475,649,411,345,107,114,77,61,1,9,9,-0.68442623,1.579075426,-0.087301587,0.381107492,0.633281972,0.865263158,0.94266055,31.88,13.97
322,450,569,338,274,96,91,72,61,1,19,16,-0.648780488,1.683431953,-0.104575163,0.336772292,0.594024605,0.751111111,1.049689441,31.17,14.64
291,396,529,311,260,84,81,56,47,,17,15,-0.694822888,1.70096463,-0.089316988,0.359223301,0.587901701,0.785353535,1.068728522,31.17,14.64
440,517,680,430,355,113,120,86,70,1,10,10,-0.666666667,1.581395349,-0.095541401,0.364474493,0.632352941,0.83172147,0.977272727,31.88,13.97
436,475,649,411,345,107,114,77,61,1,9,9,-0.68442623,1.579075426,-0.087301587,0.381107492,0.633281972,0.865263158,0.94266055,31.88,13.97
423,597,726,537,497,226,215,195,145,133,80,72,-0.467213115,1.351955307,-0.03868472,0.358064516,0.739669421,0.899497487,1.269503546,30.79,12.64
732,715,817,665,622,367,360,353,274,147,168,156,-0.306483301,1.228571429,-0.033411033,0.349112426,0.813953488,0.93006993,0.908469945,29.97,13.71
768,648,875,809,858,630,670,383,661,1112,665,830,-0.35738255,1.0815822,0.029394121,0.444253859,0.924571429,1.24845679,1.053385417,29.24,13.48
769,606,842,785,827,609,650,371,644,963,651,806,-0.358131488,1.072611465,0.026054591,0.457232423,0.932304038,1.295379538,1.020806242,29.24,13.48
348,498,648,536,510,197,187,165,105,1,7,5,-0.529243937,1.208955224,-0.024856597,0.4078478,0.827160494,1.076305221,1.540229885,28.04,13.34
349,464,621,517,496,189,180,156,98,1,7,5,-0.53640416,1.201160542,-0.020730503,0.420724095,0.83252818,1.114224138,1.481375358,28.04,13.34
